IATA code,Name,ICAO code
100,Fokker 100,F100
141,BAe 146-100,B461
142,BAe 146-200,B462
143,BAe 146-300,B463
146,BAe 146,\N
290,Embraer E190-E2,E290
295,Embraer E195-E2,E295
310,Airbus A310,A310
318,Airbus A318,A318
319,Airbus A319,A319
31N,Airbus A319neo,A19N
320,Airbus A320,A320
321,Airbus A321,A321
32N,Airbus A320neo,A20N
32Q,Airbus A321neo,A21N
330,Airbus A330,\N
332,Airbus A330-200,A332
333,Airbus A330-300,A333
338,Airbus A330-800neo,A338
339,Airbus A330-900neo,A339
340,Airbus A340,\N
342,Airbus A340-200,A342
343,Airbus A340-300,A343
345,Airbus A340-500,A345
346,Airbus A340-600,A346
350,Airbus A350,\N
351,Airbus A350-1000,A35K
359,Airbus A350-900,A359
380,Airbus A380,\N
388,Airbus A380-800,A388
703,Boeing 707,B703
717,Boeing 717,B712
721,Boeing 727-100,B721
722,Boeing 727-200,B722
727,Boeing 727,\N
732,Boeing 737-200,B732
733,Boeing 737-300,B733
734,Boeing 737-400,B734
735,Boeing 737-500,B735
736,Boeing 737-600,B736
737,Boeing 737,\N
738,Boeing 737-800,B738
739,Boeing 737-900,B739
73G,Boeing 737-700,B737
741,Boeing 747-100,B741
742,Boeing 747-200,B742
743,Boeing 747-300,B743
744,Boeing 747-400,B744
747,Boeing 747,\N
748,Boeing 747-8,B748
74B,Boeing 747 LCF Dreamlifter,BLCF
74J,Boeing 747-400D,B74D
74L,Boeing 747SP,B74S
74R,Boeing 747SR,B74R
752,Boeing 757-200,B752
753,Boeing 757-300,B753
757,Boeing 757,\N
762,Boeing 767-200,B762
763,Boeing 767-300,B763
764,Boeing 767-400,B764
767,Boeing 767,\N
772,Boeing 777-200,B772
773,Boeing 777-300,B773
777,Boeing 777,\N
778,Boeing 777-8,B778
779,Boeing 777-9,B779
77L,Boeing 777-200LR,B77L
77W,Boeing 777-300ER,B77W
787,Boeing 787,\N
788,Boeing 787-8,B788
789,Boeing 787-9,B789
78J,Boeing 787-10,B78X
7M7,Boeing 737 MAX 7,B37M
7M8,Boeing 737 MAX 8,B38M
7M9,Boeing 737 MAX 9,B39M
7MJ,Boeing 737 MAX 10,\N
A25,Antonov An-225 Mriya,A225
A26,Antonov AN-26,AN26
A28,Antonov AN-28,AN28
A30,Antonov AN-30,AN30
A32,Antonov AN-32,AN32
A40,Antonov AN-140,A140
A4F,Antonov AN-124 Ruslan,A124
A58,Antonov An-158,A158
A81,Antonov An-148,A148
AB3,Airbus A300,A30B
AB6,Airbus A300-600,A306
ABB,Airbus A300-600ST Super Transporter / Beluga,A3ST
ACP,Gulfstream/Rockwell (Aero) Commander,AC68
ACT,Gulfstream/Rockwell (Aero) Turbo Commander,AC90
AN4,Antonov AN-24,AN24
AN7,Antonov AN-72,AN72
ANF,Antonov AN-12,AN12
AR1,Avro RJ100,RJ1H
AR7,Avro RJ70,RJ70
AR8,Avro RJ85,RJ85
AT4,Aerospatiale/Alenia ATR 42-300,AT43
AT5,Aerospatiale/Alenia ATR 42-500,AT45
AT7,Aerospatiale/Alenia ATR 72,AT72
ATP,British Aerospace ATP,ATP
ATR,Aerospatiale/Alenia ATR 42-600,AT46
B11,British Aerospace (BAC) One Eleven,BA11
B72,Boeing 720B,B720
BEH,Beechcraft 1900,B190
BH2,Bell 212,B212
BNI,Pilatus Britten-Norman BN-2A/B Islander,BN2P
BNT,Pilatus Britten-Norman BN-2A Mk III Trislander,TRIS
CCJ,Canadair Challenger,CL60
CCX,Bombardier Global Express,GLEX
CL4,Canadair CL-44,CL44
CN1,Cessna 172,C172
CNJ,Cessna Citation CJ3,C25B
CR1,Canadair Regional Jet 100,CRJ1
